DAUID,Population,Employment rate,Area,Total - Structural type of dwelling
35190118,539,59.5,119503.08474393276,145.0
35190119,821,67.5,234212.49735719367,210.0
35190120,385,81.4,184311.536259051,105.0
35190121,1143,66.3,641192.1153260209,375.0
35190122,855,71.0,30696636.427442834,285.0
35190123,630,70.2,401328.89805623237,170.0
35190124,504,89.2,317300.26386891777,145.0
35190125,256,85.0,63878.47938759965,75.0
35190126,452,71.4,114419.56183706965,155.0
35190127,684,80.6,202274.7695499396,200.0
35190128,557,67.0,186845.05320158566,205.0
35190129,755,70.3,355089.9232403924,260.0
35190130,458,51.6,59288.17666178536,130.0
35190131,577,70.1,147081.89766568033,225.0
35190132,462,58.3,363790.51341590454,210.0
35190133,600,50.0,78207.41211906602,220.0
35190136,636,76.5,189636.97727152164,210.0
35190137,622,45.9,326861.6628832673,290.0
35190138,498,66.3,1180277.2384023324,195.0
35190139,361,83.7,155768.3773301321,95.0
35190140,421,73.2,153242.1899562847,195.0
35190141,393,85.0,110810.31103862071,130.0
35190142,408,66.2,117451.47181867267,125.0
35190143,547,77.6,100457.82243453451,195.0
35190144,507,78.5,166063.45182484094,195.0
35190145,661,79.5,210208.85044248216,260.0
35190146,372,66.1,43315.06496688164,170.0
35190147,1947,75.2,3478786.591065187,550.0
35190148,381,74.5,73405.21896655284,105.0
35190149,512,69.7,105128.33023004788,140.0
35190150,352,77.6,92398.21669665385,105.0
35190151,493,65.3,143798.98238235927,135.0
35190152,525,61.4,175403.9864434663,200.0
35190153,1184,68.5,687789.5020957525,340.0
35190154,887,70.5,337341.5217329532,260.0
35190155,561,66.7,480429.79459481995,165.0
35190157,753,64.7,22885482.03444173,235.0
35190158,959,74.5,374371.3410126225,260.0
35190159,406,70.3,201497.2580419648,115.0
35190160,554,67.4,135224.61046138147,140.0
35190161,593,80.6,272603.2220944976,175.0
35190162,1382,71.0,373797.2110821598,490.0
35190163,542,80.9,334490.26877998066,155.0
35190164,654,72.7,217883.98114283205,190.0
35190165,438,59.7,82798.82560747498,115.0
35190166,616,72.1,272739.9783659605,175.0
35190167,715,75.2,12362058.388918608,220.0
35190168,673,79.8,20223394.137960795,240.0
35190170,386,72.3,8277132.604452593,130.0
35190175,615,65.6,3932620.8883033404,190.0
35190176,662,69.9,5137702.060070124,230.0
35190177,324,84.3,260197.54444886782,115.0
35190178,466,72.4,497145.4466687809,145.0
35190179,513,57.6,3100575.885535066,150.0
35190180,933,70.6,3600295.7372391797,270.0
35190181,603,62.6,30494735.216087423,185.0
35190182,1110,55.8,8895555.498900712,320.0
35190183,757,65.3,5945141.307927961,255.0
35190184,1012,71.7,1085773.5411564119,280.0
35190185,15120,70.2,4165568.180682914,4315.0
35190186,1220,75.5,647631.4170310101,330.0
35190187,318,81.0,124977.65674934894,85.0
35190188,739,75.0,820517.7684378013,200.0
35190189,664,76.7,219896.94117226233,170.0
35190192,970,70.3,18041192.595481753,300.0
35190195,557,60.9,123360.75033467174,155.0
35190196,776,66.9,184209.02701362775,200.0
35190197,449,68.6,78056.52842398336,115.0
35190199,454,39.7,84928.60402538694,110.0
35190200,480,63.2,101189.68820012543,135.0
35190202,561,71.7,113956.63713271265,155.0
35190205,343,52.4,55273.24585212899,115.0
35190207,1055,58.2,326982.58302983415,540.0
35190208,625,71.6,264313.37954343774,260.0
35190209,314,75.5,123505.2063470478,100.0
35190210,826,58.7,594055.4476202169,295.0
35190211,617,58.4,386834.760884115,190.0
35190212,572,48.5,416821.071321469,175.0
35190213,445,56.9,165278.93360987163,135.0
35190214,696,60.6,481803.24908352026,195.0
35190215,342,67.2,80955.68779212318,90.0
35190216,500,60.7,160347.28418043425,140.0
35190217,422,66.7,125662.01434604001,120.0
35190218,1054,51.1,214706.88605111852,285.0
35190219,299,39.7,74178.07607760669,85.0
35190220,638,66.1,257060.32265802327,185.0
